"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
2481,WORLD BANK RESEARCH OBSERVER,"1,343",3.500,0.002040
2483,Structural Control & Health Monitoring,"4,027",3.499,0.006220
2484,JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,"9,598",3.498,0.009710
2485,Accounting Auditing & Accountability Journal,"5,172",3.497,0.002310
2485,BMC PLANT BIOLOGY,"13,905",3.497,0.021800
2487,MOLECULAR PHYLOGENETICS AND EVOLUTION,"19,378",3.496,0.024650
2488,SEMINARS IN NEPHROLOGY,"3,007",3.495,0.004380
2489,JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,"2,732",3.493,0.004490
2490,EUROPEAN JOURNAL OF PAIN,"7,579",3.492,0.009740
2490,Experimental Hematology & Oncology,633,3.492,0.001420
2492,AMERICAN JOURNAL OF PATHOLOGY,"37,564",3.491,0.021180
2492,Cancer Medicine,"6,732",3.491,0.017900
2494,Journal of Pathology Clinical Research,416,3.489,0.001700
2495,IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,"22,906",3.488,0.031010
2495,Progress in Physical Geography-Earth and Environment,"4,180",3.488,0.003300
2497,Journal of Neurodevelopmental Disorders,"1,342",3.487,0.003310
2498,EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,"16,682",3.486,0.025880
2499,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,"15,502",3.485,0.010450
2500,JOURNAL OF MACHINE LEARNING RESEARCH,"28,234",3.484,0.040630
2500,JOURNAL OF NEPHROLOGY,"3,165",3.484,0.003980
2502,Educational Researcher,"7,408",3.483,0.006590
2502,INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,"4,567",3.483,0.004070
2504,EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,"6,344",3.481,0.006580
2504,Expert Review of Clinical Pharmacology,"2,001",3.481,0.004500
2504,Regional Environmental Change,"4,921",3.481,0.011230
2504,Regional Environmental Change,"4,921",3.481,0.011230
2508,Biogeosciences,"18,465",3.480,0.037610
2508,International Journal of Mechanics and Materials in Design,978,3.480,0.001170
2510,European Journal of Psychotraumatology,"1,987",3.478,0.004950
2511,INTERNATIONAL JOURNAL OF THERMAL SCIENCES,"14,063",3.476,0.015380
2512,BIOCHEMICAL ENGINEERING JOURNAL,"10,829",3.475,0.009230
2512,BioImpacts,777,3.475,0.001200
2512,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,"13,970",3.475,0.031890
2515,EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,"2,591",3.474,0.003960
2516,Cancer Prevention Research,"5,080",3.473,0.007530
2516,PHARMACOTHERAPY,"6,414",3.473,0.008400
2518,APPLIED MATHEMATICS AND COMPUTATION,"30,975",3.472,0.041930
2518,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,"4,375",3.472,0.003750
2518,International Entrepreneurship and Management Journal,"1,839",3.472,0.001370
2518,Journal of Applied Research in Memory and Cognition,986,3.472,0.003450
2522,QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,"19,943",3.471,0.023980
2523,Biomolecules & Therapeutics,"1,770",3.470,0.002960
2523,Expert Opinion on Drug Metabolism & Toxicology,"3,991",3.470,0.005910
2523,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,"52,362",3.470,0.053110
2526,AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,"18,917",3.469,0.013710
2527,CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,"2,850",3.468,0.002800
2528,IEEE Transactions on Control of Network Systems,"1,847",3.467,0.010910
2528,PANMINERVA MEDICA,806,3.467,0.000660
2530,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,"13,092",3.465,0.014710
2530,Journal of Water Process Engineering,"2,951",3.465,0.004740
2532,Human Cell,606,3.463,0.000870
2532,Therapeutic Advances in Drug Safety,868,3.463,0.002090
2534,Genome Biology and Evolution,"7,387",3.462,0.024830
2535,INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID,"12,568",3.461,0.011590
2535,JOURNAL OF SMALL BUSINESS MANAGEMENT,"4,579",3.461,0.002850
2535,NDT & E INTERNATIONAL,"5,686",3.461,0.004440
2538,COMPUTATIONAL MECHANICS,"7,457",3.459,0.011150
2539,Cluster Computing-The Journal of Networks Software Tools and Applications,"3,403",3.458,0.003950
2539,Journal of Building Performance Simulation,"1,083",3.458,0.001630
2541,Therapeutic Advances in Hematology,679,3.456,0.001500
2542,CELLULAR & MOLECULAR BIOLOGY LETTERS,"1,510",3.451,0.001590
2542,JOURNAL OF PETROLOGY,"15,508",3.451,0.008870
2544,Environmental Science-Water Research & Technology,"1,953",3.449,0.004600
2544,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,"6,765",3.449,0.007390
2546,ENZYME AND MICROBIAL TECHNOLOGY,"11,375",3.448,0.005290
2547,Integrating Materials and Manufacturing Innovation,479,3.447,0.001320
2548,BUSINESS HORIZONS,"5,070",3.444,0.002920
2548,EXPERIMENTAL THERMAL AND FLUID SCIENCE,"13,027",3.444,0.016680
2548,GENES CHROMOSOMES & CANCER,"4,930",3.444,0.005520
2548,GM Crops & Food-Biotechnology in Agriculture and the Food Chain,369,3.444,0.000780
2552,CHROMOSOMA,"3,262",3.442,0.004210
2552,DRUG SAFETY,"5,343",3.442,0.006400
2552,JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,"17,154",3.442,0.008050
2555,EVOLUTIONARY ANTHROPOLOGY,"1,887",3.441,0.001930
2555,Reaction Chemistry & Engineering,"1,171",3.441,0.002370
2557,Integrated Environmental Assessment and Management,"2,315",3.440,0.002550
2558,American Economic Journal-Macroeconomics,"2,062",3.438,0.012010
2558,OXFORD REVIEW OF ECONOMIC POLICY,"2,268",3.438,0.002480
2560,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,"12,836",3.437,0.015270
2561,Cancer Biomarkers,"2,842",3.436,0.004990
2561,HEREDITY,"9,843",3.436,0.010560
2563,MONTHLY WEATHER REVIEW,"30,642",3.435,0.023300
2564,COMPUTERS IN BIOLOGY AND MEDICINE,"6,737",3.434,0.010710
2565,OCEANOGRAPHY,"4,294",3.431,0.006640
2566,CELLULAR MICROBIOLOGY,"9,238",3.430,0.010800
2566,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,"108,844",3.430,0.174310
2568,JOURNAL OF SOUND AND VIBRATION,"38,071",3.429,0.027050
2568,Journal of Biological Engineering,"1,208",3.429,0.001950
2568,Pediatric Obesity,"2,306",3.429,0.005900
2571,Sustainable Energy Technologies and Assessments,"1,581",3.427,0.002910
2572,ENGINEERING FRACTURE MECHANICS,"18,163",3.426,0.015730
2572,Polymers,"14,006",3.426,0.019850
2574,Journal of Optical Communications and Networking,"2,887",3.425,0.005850
2575,COMPUTERS & OPERATIONS RESEARCH,"13,591",3.424,0.014670
2576,CALCIFIED TISSUE INTERNATIONAL,"7,150",3.423,0.007280
2576,JOURNAL OF QUANTITATIVE CRIMINOLOGY,"2,346",3.423,0.003610
2578,BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,"15,012",3.422,0.019700
2578,SCIENCE AND TECHNOLOGY OF WELDING AND JOINING,"4,229",3.422,0.003190
2580,ENERGY & FUELS,"50,867",3.421,0.048150
2580,Personality Disorders-Theory Research and Treatment,"1,635",3.421,0.004520
2582,IEEE COMMUNICATIONS LETTERS,"15,036",3.419,0.030980
2582,IEEE TRANSACTIONS ON BROADCASTING,"2,359",3.419,0.002730
2584,ACS Earth and Space Chemistry,820,3.418,0.002450
2584,ACTA DIABETOLOGICA,"3,675",3.418,0.007070
2584,HISTOCHEMISTRY AND CELL BIOLOGY,"4,521",3.418,0.004900
2584,MOLECULAR MICROBIOLOGY,"34,589",3.418,0.024130
2588,ONCOLOGY REPORTS,"21,029",3.417,0.029600
2589,MACROMOLECULAR BIOSCIENCE,"7,056",3.416,0.006030
2590,Journal of Hospitality and Tourism Management,"1,293",3.415,0.000980
2591,EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,"11,480",3.414,0.009610
2591,MICROSCOPY AND MICROANALYSIS,"4,187",3.414,0.006910
2593,BIOCHIMIE,"11,006",3.413,0.012400
2593,CHROMOSOME RESEARCH,"2,242",3.413,0.002160
2593,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,"24,976",3.413,0.028330
2593,Strategic Organization,"1,452",3.413,0.002110
2597,OBESITY SURGERY,"13,608",3.412,0.019190
2597,ORGANIC & BIOMOLECULAR CHEMISTRY,"34,096",3.412,0.049800
2599,AMERICAN JOURNAL OF NEPHROLOGY,"4,849",3.411,0.007710
2599,BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,"18,220",3.411,0.020320
2601,Journal of Computational Design and Engineering,602,3.408,0.001210
2601,Journal of Geophysical Research-Biogeosciences,"9,441",3.408,0.016450
2601,LANGUAGE LEARNING,"4,222",3.408,0.003800
2601,MATERIALS CHEMISTRY AND PHYSICS,"30,498",3.408,0.022660
2605,INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS,"8,036",3.407,0.007720
2606,JOURNAL OF VASCULAR SURGERY,"26,553",3.405,0.025040
2606,SEDIMENTOLOGY,"9,521",3.405,0.006450
2608,Energy Technology,"3,535",3.404,0.007830
2608,HIPPOCAMPUS,"8,586",3.404,0.010840
2610,HPB,"5,261",3.401,0.010130
2611,Crystallography Reviews,435,3.400,0.000560
2611,GEOTEXTILES AND GEOMEMBRANES,"3,885",3.400,0.003240
2613,IEEE-ACM Transactions on Audio Speech and Language Processing,"3,463",3.398,0.009270
2613,INTERMETALLICS,"11,446",3.398,0.009820
2615,GENES BRAIN AND BEHAVIOR,"3,639",3.397,0.005080
2615,JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,"5,763",3.397,0.006440
2617,Clinical Implant Dentistry and Related Research,"4,496",3.396,0.008290
2617,Journal of Geriatric Physical Therapy,"1,122",3.396,0.001250
2617,SEXUALLY TRANSMITTED INFECTIONS,"4,701",3.396,0.008520
2620,Crop Journal,"1,255",3.395,0.003180
2621,AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,"7,144",3.393,0.009940
2621,AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,"7,144",3.393,0.009940
2623,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,"21,797",3.391,0.013440
2623,Brain Imaging and Behavior,"2,979",3.391,0.008460
2625,Anthropocene,831,3.390,0.002000
2625,LITHOS,"22,963",3.390,0.028250
2625,PLANTA,"20,329",3.390,0.011010
2628,Clinical Kidney Journal,"2,586",3.388,0.006620
2628,Journal of the European Economic Association,"4,462",3.388,0.014480
2630,AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,"4,033",3.387,0.006040
2631,DEVELOPMENT AND PSYCHOPATHOLOGY,"11,002",3.385,0.011680
2631,Journal of Manufacturing Technology Management,"2,190",3.385,0.001310
2631,Journal of Manufacturing Technology Management,"2,190",3.385,0.001310
2631,LANDSCAPE ECOLOGY,"9,901",3.385,0.010070
2635,ChemNanoMat,"1,793",3.384,0.004020
2635,TRANSPORTATION SCIENCE,"6,116",3.384,0.007380
2635,TRANSPORTATION SCIENCE,"6,116",3.384,0.007380
2638,EXPERIMENTAL CELL RESEARCH,"20,072",3.383,0.018360
2638,Expert Opinion On Drug Safety,"3,693",3.383,0.007550
2640,Transport Policy,"6,586",3.382,0.007480
2641,ACS Combinatorial Science,"2,060",3.381,0.003570
2641,AMERICAN JOURNAL OF NEURORADIOLOGY,"23,135",3.381,0.027180
2641,Journal of Trauma and Acute Care Surgery,"9,144",3.381,0.024230
2644,CLINICAL ENDOCRINOLOGY,"14,002",3.380,0.014560
2644,JOURNAL OF DRUG TARGETING,"3,766",3.380,0.003120
2644,Molecular Diagnosis & Therapy,"1,187",3.380,0.002220
2644,NPJ Microgravity,347,3.380,0.001210
2648,ARCHAEA-AN INTERNATIONAL MICROBIOLOGICAL JOURNAL,621,3.379,0.000900
2648,Journal of Building Engineering,"2,316",3.379,0.004030
2648,MUTAGENESIS,"3,495",3.379,0.002520
2651,European Thyroid Journal,975,3.378,0.002540
2651,PLATELETS,"3,276",3.378,0.005570
2653,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,"9,424",3.377,0.012210
2654,EXPERIMENTAL GERONTOLOGY,"10,220",3.376,0.012850
2654,JOURNAL OF GENERAL VIROLOGY,"19,106",3.376,0.017740
2656,American Journal of Translational Research,"6,809",3.375,0.014200
2656,Comunicar,"1,432",3.375,0.000740
2656,Journal of Research on Educational Effectiveness,798,3.375,0.002880
2656,Regulation & Governance,"1,136",3.375,0.002360
2660,IEEE Transactions on Human-Machine Systems,"1,556",3.374,0.004100
2661,CTS-Clinical and Translational Science,"1,524",3.373,0.003420
2662,Journal of the Mechanical Behavior of Biomedical Materials,"11,230",3.372,0.020150
2662,SPE JOURNAL,"8,536",3.372,0.007120
2664,BRAIN RESEARCH BULLETIN,"9,714",3.370,0.007900
2664,Beneficial Microbes,"1,686",3.370,0.003440
2664,COMPUTERS & MATHEMATICS WITH APPLICATIONS,"17,189",3.370,0.020190
2664,HEALTH TECHNOLOGY ASSESSMENT,"5,573",3.370,0.009450
2664,OIKOS,"21,895",3.370,0.014650
2664,STANFORD LAW REVIEW,"4,064",3.370,0.003530
2670,International Journal of Transgenderism,957,3.369,0.001190
2670,International Journal of Transgenderism,957,3.369,0.001190
2672,CLINICAL IMMUNOLOGY,"8,329",3.368,0.010160
2672,EXPERIMENTAL DERMATOLOGY,"6,936",3.368,0.010380
2674,Advances in Clinical Chemistry,"1,183",3.367,0.001890
2674,Frontiers in Physiology,"21,190",3.367,0.052440
2676,JOURNAL OF NUCLEAR CARDIOLOGY,"3,600",3.366,0.004580
2677,Frontiers in Nutrition,"1,384",3.365,0.003560
2677,Movement Ecology,703,3.365,0.002580
2679,MEASUREMENT,"15,879",3.364,0.021750
2680,CHEMICAL GEOLOGY,"38,398",3.363,0.029860
2680,IEEE Intelligent Transportation Systems Magazine,"1,055",3.363,0.002230
2682,ACTA OPHTHALMOLOGICA,"8,902",3.362,0.012650
2683,Nutrition Journal,"5,509",3.359,0.007190
2684,Health Reports,"1,444",3.358,0.001660
2684,Health Reports,"1,444",3.358,0.001660
2684,REVIEWS IN THE NEUROSCIENCES,"2,211",3.358,0.002840
2687,International Journal of Surgery,"9,699",3.357,0.018390
2687,VETERINARY RESEARCH,"5,418",3.357,0.007070
2689,CNS SPECTRUMS,"2,479",3.356,0.003480
2689,Environmental Technology & Innovation,"1,019",3.356,0.001670
2689,Food and Bioprocess Technology,"8,253",3.356,0.009060
2689,JOURNAL OF LABOR ECONOMICS,"4,949",3.356,0.015050
2689,MICROBIAL ECOLOGY,"11,311",3.356,0.010930
2689,SURGERY,"20,162",3.356,0.026360
2695,MICHIGAN LAW REVIEW,"2,069",3.353,0.001990
2696,INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,"4,245",3.352,0.003460
2696,JOURNAL OF GEOCHEMICAL EXPLORATION,"8,173",3.352,0.007520
2696,Travel Behaviour and Society,612,3.352,0.001660
2699,Human Genomics,"1,345",3.351,0.002820
2699,Industry and Innovation,"1,602",3.351,0.001590
2699,PSYCHIATRY AND CLINICAL NEUROSCIENCES,"3,696",3.351,0.004260
2702,CHEMICAL ENGINEERING RESEARCH & DESIGN,"14,155",3.350,0.014910
2702,JOURNAL OF RHEUMATOLOGY,"21,996",3.350,0.019490
2704,TOXICOLOGY AND APPLIED PHARMACOLOGY,"18,959",3.347,0.013610
2705,Epilepsy Currents,889,3.345,0.001530
2706,Advances in Applied Microbiology,"1,789",3.343,0.001570
2706,Artificial Cells Nanomedicine and Biotechnology,"3,922",3.343,0.006310
2706,IET Control Theory and Applications,"8,082",3.343,0.016000
2706,Soil,701,3.343,0.001990
2710,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,"14,759",3.342,0.016200
2710,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,"14,759",3.342,0.016200
2712,CELL TRANSPLANTATION,"5,953",3.341,0.007720
2713,Current Treatment Options in Neurology,"1,355",3.340,0.002620
2713,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,"6,925",3.340,0.009640
2715,DNA REPAIR,"5,644",3.339,0.011850
2716,HYDROMETALLURGY,"13,036",3.338,0.008790
2717,OncoTargets and Therapy,"10,014",3.337,0.021750
2717,Physical Review Materials,"4,016",3.337,0.015160
2717,Sport Management Review,"1,884",3.337,0.001510
2720,CURRENT OPINION IN ONCOLOGY,"2,769",3.336,0.003710
2720,Kidney International Reports,"1,120",3.336,0.004310
2720,Molecular BioSystems,"7,412",3.336,0.011810
2723,SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,"8,775",3.335,0.012770
2723,SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,"8,775",3.335,0.012770
2725,BRITISH JOURNAL OF NUTRITION,"28,555",3.334,0.025350
2726,British Accounting Review,"1,946",3.333,0.001050
2726,COMMENTS ON INORGANIC CHEMISTRY,475,3.333,0.000420
2726,European Review of Social Psychology,834,3.333,0.001290
2726,Geomatics Natural Hazards & Risk,"1,447",3.333,0.002560
2726,JOURNAL OF DAIRY SCIENCE,"53,074",3.333,0.032900
2726,JOURNAL OF FLUID MECHANICS,"66,182",3.333,0.051510
2726,Journal of Mixed Methods Research,"1,627",3.333,0.000840
2726,ORGANIZATION & ENVIRONMENT,"1,786",3.333,0.001610
2726,REACTIVE & FUNCTIONAL POLYMERS,"6,637",3.333,0.005340
2735,Brain Sciences,"1,994",3.332,0.004990
2736,Waves in Random and Complex Media,"1,164",3.330,0.001260
2737,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,"4,196",3.329,0.003370
2738,Population Health Metrics,"1,481",3.328,0.003370
2738,TRANSFUSION MEDICINE REVIEWS,"1,409",3.328,0.002980
2740,Journal of Immunology Research,"5,081",3.327,0.015370
2741,APPLIED INTELLIGENCE,"3,732",3.325,0.004900
2741,International Journal of Logistics Management,"2,111",3.325,0.001130
2743,ANNALS OF BIOMEDICAL ENGINEERING,"11,478",3.324,0.012900
2744,LEARNING AND INSTRUCTION,"5,479",3.323,0.007490
2744,Molecular Systems Design & Engineering,659,3.323,0.001690
2746,BIOLOGY OF REPRODUCTION,"21,668",3.322,0.013220
2746,RESPIRATION,"4,285",3.322,0.005110
2748,CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,"9,007",3.319,0.011630
2749,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,"13,119",3.318,0.018580
2749,JOURNAL OF PHYSICAL OCEANOGRAPHY,"16,482",3.318,0.016540
2751,ANNALEN DER PHYSIK,"6,661",3.317,0.006330
2751,European Research on Management and Business Economics,182,3.317,0.000160
2751,MEDICAL PHYSICS,"26,445",3.317,0.027410
2754,IEEE-ACM TRANSACTIONS ON NETWORKING,"7,825",3.315,0.013570
2755,DIABETES-METABOLISM RESEARCH AND REVIEWS,"5,208",3.314,0.006710
2755,DNA AND CELL BIOLOGY,"3,598",3.314,0.004050
2755,SKIN PHARMACOLOGY AND PHYSIOLOGY,"1,829",3.314,0.001240
2758,CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE,"6,097",3.313,0.007640
2758,CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE,"6,097",3.313,0.007640
2758,PALEOCEANOGRAPHY,"7,879",3.313,0.006980
2761,INFORMATICA,717,3.312,0.000760
2761,Journal of Cardiovascular Translational Research,"1,656",3.312,0.003140
2761,MECHANISM AND MACHINE THEORY,"8,834",3.312,0.008020
2761,R Journal,"1,811",3.312,0.007310
2761,REGIONAL STUDIES,"7,940",3.312,0.008740
2766,NITRIC OXIDE-BIOLOGY AND CHEMISTRY,"4,226",3.311,0.004760
2767,ORGANIC ELECTRONICS,"13,319",3.310,0.018240
2768,ADVANCES IN CHRONIC KIDNEY DISEASE,"1,921",3.306,0.004060
2768,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,"16,312",3.306,0.011190
2770,FUZZY SETS AND SYSTEMS,"17,605",3.305,0.008780
2770,MENOPAUSE-THE JOURNAL OF THE NORTH AMERICAN MENOPAUSE SOCIETY,"5,812",3.305,0.007830
2772,BASIN RESEARCH,"3,433",3.304,0.004220
2772,Journal of Gynecologic Oncology,"1,477",3.304,0.003610
2772,Science China-Information Sciences,"3,229",3.304,0.006910
2775,Journal of Clinical Medicine,"5,214",3.303,0.010950
2776,Annals of the American Association of Geographers,"1,157",3.302,0.004510
2776,PLANT MOLECULAR BIOLOGY,"15,159",3.302,0.008730
2778,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,"10,491",3.301,0.008410
2779,Information and Organization,696,3.300,0.000800
2779,NEUROINFORMATICS,"1,457",3.300,0.003180
2781,PLANT AND SOIL,"36,369",3.299,0.020810
2782,Brain Structure & Function,"6,750",3.298,0.020700
2783,Annals of Translational Medicine,"4,598",3.297,0.014360
2783,Frontiers of Medicine,"1,307",3.297,0.002510
2785,Journal of Cancer Survivorship,"2,750",3.296,0.006890
2785,Journal of Cancer Survivorship,"2,750",3.296,0.006890
2787,COGNITION,"17,310",3.294,0.022490
2787,Food Engineering Reviews,"1,085",3.294,0.001330
2787,Sustainable Chemistry and Pharmacy,394,3.294,0.000720
2790,CURRENT ANTHROPOLOGY,"6,162",3.293,0.005590
2790,Frontiers in Systems Neuroscience,"4,943",3.293,0.012750
2790,JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA,"1,951",3.293,0.001080
2790,Journal of Sexual Medicine,"10,551",3.293,0.012400
2794,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,"7,257",3.292,0.008590
2794,Frontiers in Neuroanatomy,"3,672",3.292,0.011750
2796,EUROPEAN JOURNAL OF CLINICAL NUTRITION,"14,874",3.291,0.013480
2797,HEALTH & PLACE,"7,695",3.290,0.009890
2797,HEALTH & PLACE,"7,695",3.290,0.009890
2799,JOURNAL OF ECONOMIC GEOGRAPHY,"4,092",3.289,0.005410
2799,JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,"5,222",3.289,0.004970
2801,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,"4,136",3.288,0.004760
2801,Influenza and Other Respiratory Viruses,"2,062",3.288,0.005390
2801,NEW JOURNAL OF CHEMISTRY,"31,433",3.288,0.044140
2804,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,"3,401",3.286,0.005100
2804,Current Pollution Reports,534,3.286,0.001200
2804,GERONTOLOGIST,"11,196",3.286,0.011550
2804,Green Chemistry Letters and Reviews,"1,043",3.286,0.001110
2804,SYNTHETIC METALS,"13,561",3.286,0.007650
2809,Current Molecular Pharmacology,767,3.283,0.000980
2810,Cancer Genomics & Proteomics,"1,033",3.280,0.001490
2810,JOURNAL OF LUMINESCENCE,"21,184",3.280,0.019920
2810,Journal of Diabetes,"1,956",3.280,0.004530
2813,PROSTATE,"7,691",3.279,0.008060
2814,JOURNAL OF BUSINESS AND PSYCHOLOGY,"3,391",3.278,0.004220
2815,IMMUNOLOGY LETTERS,"5,581",3.276,0.007510
2816,ACM Transactions on Multimedia Computing Communications and Applications,"1,242",3.275,0.002700
2816,DEVELOPMENTAL DYNAMICS,"9,747",3.275,0.006650
2816,GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS,"16,560",3.275,0.025920
2816,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,"20,615",3.275,0.027820
2816,POLYMER TESTING,"10,193",3.275,0.009630
2816,SENSORS,"63,306",3.275,0.084010
2822,Gut Pathogens,"1,399",3.274,0.002950
2822,NEUROTOXICOLOGY AND TERATOLOGY,"3,700",3.274,0.003460
2824,BIOINORGANIC CHEMISTRY AND APPLICATIONS,947,3.273,0.000840
2824,ENVIRONMENT AND URBANIZATION,"2,325",3.273,0.002080
2826,LGBT Health,"1,008",3.272,0.005040
2826,LGBT Health,"1,008",3.272,0.005040
2828,JOURNAL OF HOSPITAL INFECTION,"8,433",3.271,0.010710
2828,Toxics,697,3.271,0.001650
2830,BIOLOGICAL CHEMISTRY,"6,185",3.270,0.006870
2831,Journal of Intelligent Transportation Systems,"1,083",3.269,0.001910
2831,Journal of Intelligent Transportation Systems,"1,083",3.269,0.001910
2833,Biology of Sex Differences,"1,289",3.267,0.003650
2833,JOURNAL OF NEURO-ONCOLOGY,"12,200",3.267,0.016410
2833,MOLECULES,"53,982",3.267,0.075240
2836,POLITICAL PSYCHOLOGY,"4,353",3.265,0.008150
2837,CURRENT PROBLEMS IN CANCER,744,3.264,0.001450
2837,Pharmacogenomics & Personalized Medicine,457,3.264,0.001330
2839,EUROPEAN JOURNAL OF PHARMACOLOGY,"31,740",3.263,0.026030
2839,Journal of Anthropological Sciences,319,3.263,0.000620
2841,Transplantation Reviews,893,3.262,0.002020
2842,Frontiers in Genetics,"10,164",3.260,0.026130
2842,GEORGETOWN LAW JOURNAL,"1,848",3.260,0.003120
2844,JOURNAL OF GENE MEDICINE,"1,961",3.258,0.001230
2845,Endocrinology and Metabolism,"1,187",3.257,0.003070
2846,HYDROLOGICAL PROCESSES,"22,428",3.256,0.021730
2847,EXCEPTIONAL CHILDREN,"2,864",3.255,0.002320
2847,JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,"9,581",3.255,0.011540
2847,PATTERN RECOGNITION LETTERS,"13,401",3.255,0.014710
2847,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,"9,550",3.255,0.015830
2851,PROTEOMICS,"14,205",3.254,0.017640
2852,Pain Physician,"4,529",3.251,0.006930
2853,BEHAVIOR ANALYST,686,3.250,0.000390
2854,Lithosphere,"1,475",3.248,0.003680
2855,World Journal of Diabetes,"2,548",3.247,0.005510
2856,Current Opinion in Allergy and Clinical Immunology,"2,838",3.246,0.003820
2856,JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,"4,152",3.246,0.004820
